stage,seed,seat_a,a,b,reward_a,reward_b,status_a,status_b,outcome_a,error
screen,41000,0,_extract_submission_tar,prvsiyan_frontier,3000.0,171735.0,DONE,DONE,0.0,
screen,41000,1,_extract_submission_tar,prvsiyan_frontier,3000.0,171735.0,DONE,DONE,0.0,
screen,41001,0,_extract_submission_tar,prvsiyan_frontier,3000.0,157914.0,DONE,DONE,0.0,
screen,41001,1,_extract_submission_tar,prvsiyan_frontier,3000.0,157914.0,DONE,DONE,0.0,
screen,41000,0,_extract_submission_tar,reacting_aurax7_v2_public_refresh,3000.0,172375.0,DONE,DONE,0.0,
screen,41000,1,_extract_submission_tar,reacting_aurax7_v2_public_refresh,3000.0,172375.0,DONE,DONE,0.0,
screen,41001,0,_extract_submission_tar,reacting_aurax7_v2_public_refresh,3000.0,158585.0,DONE,DONE,0.0,
screen,41001,1,_extract_submission_tar,reacting_aurax7_v2_public_refresh,3000.0,158585.0,DONE,DONE,0.0,
screen,41000,0,_extract_submission_tar,reacting_evgen_v226_public_refresh,3000.0,172204.0,DONE,DONE,0.0,
screen,41000,1,_extract_submission_tar,reacting_evgen_v226_public_refresh,3000.0,172204.0,DONE,DONE,0.0,
screen,41001,0,_extract_submission_tar,reacting_evgen_v226_public_refresh,3000.0,158392.0,DONE,DONE,0.0,
screen,41001,1,_extract_submission_tar,reacting_evgen_v226_public_refresh,3000.0,158392.0,DONE,DONE,0.0,
screen,41000,0,_extract_submission_tar,reacting_market_smart_public_refresh,3000.0,172648.0,DONE,DONE,0.0,
screen,41000,1,_extract_submission_tar,reacting_market_smart_public_refresh,3000.0,172648.0,DONE,DONE,0.0,
screen,41001,0,_extract_submission_tar,reacting_market_smart_public_refresh,3000.0,158858.0,DONE,DONE,0.0,
screen,41001,1,_extract_submission_tar,reacting_market_smart_public_refresh,3000.0,158858.0,DONE,DONE,0.0,
screen,41000,0,_extract_submission_tar,sub-009-moev2,3000.0,131825.0,DONE,DONE,0.0,
screen,41000,1,_extract_submission_tar,sub-009-moev2,3000.0,131825.0,DONE,DONE,0.0,
screen,41001,0,_extract_submission_tar,sub-009-moev2,3000.0,134510.0,DONE,DONE,0.0,
screen,41001,1,_extract_submission_tar,sub-009-moev2,3000.0,134510.0,DONE,DONE,0.0,
screen,41000,0,_extract_submission_tar_2,prvsiyan_frontier,64012.0,108155.0,DONE,DONE,0.0,
screen,41000,1,_extract_submission_tar_2,prvsiyan_frontier,64012.0,108155.0,DONE,DONE,0.0,
screen,41001,0,_extract_submission_tar_2,prvsiyan_frontier,140438.0,159018.0,DONE,DONE,0.0,
screen,41001,1,_extract_submission_tar_2,prvsiyan_frontier,140438.0,159018.0,DONE,DONE,0.0,
screen,41000,0,_extract_submission_tar_2,reacting_aurax7_v2_public_refresh,63929.0,108165.0,DONE,DONE,0.0,
screen,41000,1,_extract_submission_tar_2,reacting_aurax7_v2_public_refresh,63929.0,108165.0,DONE,DONE,0.0,
screen,41001,0,_extract_submission_tar_2,reacting_aurax7_v2_public_refresh,138576.0,152954.0,DONE,DONE,0.0,
screen,41001,1,_extract_submission_tar_2,reacting_aurax7_v2_public_refresh,138576.0,152954.0,DONE,DONE,0.0,
screen,41000,0,_extract_submission_tar_2,reacting_evgen_v226_public_refresh,63931.0,108170.0,DONE,DONE,0.0,
screen,41000,1,_extract_submission_tar_2,reacting_evgen_v226_public_refresh,63931.0,108170.0,DONE,DONE,0.0,
screen,41001,0,_extract_submission_tar_2,reacting_evgen_v226_public_refresh,138597.0,153017.0,DONE,DONE,0.0,
screen,41001,1,_extract_submission_tar_2,reacting_evgen_v226_public_refresh,138597.0,153017.0,DONE,DONE,0.0,
screen,41000,0,_extract_submission_tar_2,reacting_market_smart_public_refresh,63931.0,108182.0,DONE,DONE,0.0,
screen,41000,1,_extract_submission_tar_2,reacting_market_smart_public_refresh,63931.0,108182.0,DONE,DONE,0.0,
screen,41001,0,_extract_submission_tar_2,reacting_market_smart_public_refresh,138576.0,152961.0,DONE,DONE,0.0,
screen,41001,1,_extract_submission_tar_2,reacting_market_smart_public_refresh,138576.0,152961.0,DONE,DONE,0.0,
screen,41000,0,_extract_submission_tar_2,sub-009-moev2,76177.0,85887.0,DONE,DONE,0.0,
screen,41000,1,_extract_submission_tar_2,sub-009-moev2,76177.0,85887.0,DONE,DONE,0.0,
screen,41001,0,_extract_submission_tar_2,sub-009-moev2,107215.0,114689.0,DONE,DONE,0.0,
screen,41001,1,_extract_submission_tar_2,sub-009-moev2,107215.0,114689.0,DONE,DONE,0.0,
screen,41000,0,_extract_submission_tar_3,prvsiyan_frontier,89064.0,124752.0,DONE,DONE,0.0,
screen,41000,1,_extract_submission_tar_3,prvsiyan_frontier,89064.0,124752.0,DONE,DONE,0.0,
screen,41001,0,_extract_submission_tar_3,prvsiyan_frontier,110348.0,148909.0,DONE,DONE,0.0,
screen,41001,1,_extract_submission_tar_3,prvsiyan_frontier,110348.0,148909.0,DONE,DONE,0.0,
screen,41000,0,_extract_submission_tar_3,reacting_aurax7_v2_public_refresh,92873.0,126387.0,DONE,DONE,0.0,
screen,41000,1,_extract_submission_tar_3,reacting_aurax7_v2_public_refresh,92873.0,126387.0,DONE,DONE,0.0,
screen,41001,0,_extract_submission_tar_3,reacting_aurax7_v2_public_refresh,111229.0,145722.0,DONE,DONE,0.0,
screen,41001,1,_extract_submission_tar_3,reacting_aurax7_v2_public_refresh,111229.0,145722.0,DONE,DONE,0.0,
screen,41000,0,_extract_submission_tar_3,reacting_evgen_v226_public_refresh,92895.0,126426.0,DONE,DONE,0.0,
screen,41000,1,_extract_submission_tar_3,reacting_evgen_v226_public_refresh,92895.0,126426.0,DONE,DONE,0.0,
screen,41001,0,_extract_submission_tar_3,reacting_evgen_v226_public_refresh,111253.0,145768.0,DONE,DONE,0.0,
screen,41001,1,_extract_submission_tar_3,reacting_evgen_v226_public_refresh,111253.0,145768.0,DONE,DONE,0.0,
screen,41000,0,_extract_submission_tar_3,reacting_market_smart_public_refresh,92873.0,126412.0,DONE,DONE,0.0,
screen,41000,1,_extract_submission_tar_3,reacting_market_smart_public_refresh,92873.0,126412.0,DONE,DONE,0.0,
screen,41001,0,_extract_submission_tar_3,reacting_market_smart_public_refresh,111229.0,145747.0,DONE,DONE,0.0,
screen,41001,1,_extract_submission_tar_3,reacting_market_smart_public_refresh,111229.0,145747.0,DONE,DONE,0.0,
screen,41000,0,_extract_submission_tar_3,sub-009-moev2,83595.0,115198.0,DONE,DONE,0.0,
screen,41000,1,_extract_submission_tar_3,sub-009-moev2,83595.0,115198.0,DONE,DONE,0.0,
screen,41001,0,_extract_submission_tar_3,sub-009-moev2,113159.0,152993.0,DONE,DONE,0.0,
screen,41001,1,_extract_submission_tar_3,sub-009-moev2,113159.0,152993.0,DONE,DONE,0.0,
screen,41000,0,_extract_submission_tar_4,prvsiyan_frontier,127891.0,135383.0,DONE,DONE,0.0,
