panel,candidate_label,opponent_label,seed,seat,candidate_reward,opponent_reward,margin
Selected public histories,V224C,raw_e106906596,638387042,0,142636.0,42917.0,99719.0
Selected public histories,V224C,raw_e106906596,638387042,1,142636.0,42917.0,99719.0
Selected public histories,V224C,raw_e106908472,220717876,0,109458.0,52555.0,56903.0
Selected public histories,V224C,raw_e106908472,220717876,1,109458.0,52555.0,56903.0
Selected public histories,V224C,raw_e106914053,1920051497,0,135682.0,105803.0,29879.0
Selected public histories,V224C,raw_e106914053,1920051497,1,135682.0,105803.0,29879.0
Selected public histories,V224C,raw_e106916906,1434460073,0,138637.0,128894.0,9743.0
Selected public histories,V224C,raw_e106916906,1434460073,1,138746.0,128933.0,9813.0
Selected public histories,V224C,raw_e106917863,392787688,0,107685.0,85724.0,21961.0
Selected public histories,V224C,raw_e106917863,392787688,1,113882.0,110555.0,3327.0
Selected public histories,V224C,raw_e106926409,48676653,0,122835.0,119095.0,3740.0
Selected public histories,V224C,raw_e106926409,48676653,1,122889.0,118541.0,4348.0
Selected public histories,V224C,raw_e106929029,1618465586,0,100704.0,101920.0,-1216.0
Selected public histories,V224C,raw_e106929029,1618465586,1,100704.0,101920.0,-1216.0
Selected public histories,V224C,raw_e106929322,1629902467,0,91345.0,78864.0,12481.0
Selected public histories,V224C,raw_e106929322,1629902467,1,91345.0,78864.0,12481.0
Selected public histories,V224C,raw_e106930199,2038224448,0,93291.0,81072.0,12219.0
Selected public histories,V224C,raw_e106930199,2038224448,1,93291.0,81072.0,12219.0
Selected public histories,V224C,raw_e106931231,1790148002,0,91348.0,85168.0,6180.0
Selected public histories,V224C,raw_e106931231,1790148002,1,91348.0,85168.0,6180.0
Selected public histories,V224C,raw_e106935888,1019729165,0,78091.0,74223.0,3868.0
Selected public histories,V224C,raw_e106935888,1019729165,1,78091.0,74223.0,3868.0
Selected public histories,V224C,raw_e106942526,102881230,0,109094.0,94581.0,14513.0
Selected public histories,V224C,raw_e106942526,102881230,1,109094.0,94581.0,14513.0
Selected public histories,V224C,raw_e106956976,1882818733,0,83192.0,82253.0,939.0
Selected public histories,V224C,raw_e106956976,1882818733,1,83192.0,82253.0,939.0
Selected public histories,V224C,raw_e107110349,1737742990,0,140172.0,35760.0,104412.0
Selected public histories,V224C,raw_e107110349,1737742990,1,140172.0,35760.0,104412.0
Selected public histories,V224C,raw_e107111329,1487353121,0,139668.0,16095.0,123573.0
Selected public histories,V224C,raw_e107111329,1487353121,1,139668.0,16095.0,123573.0
Selected public histories,V224C,raw_e107112246,1143085068,0,157151.0,112376.0,44775.0
Selected public histories,V224C,raw_e107112246,1143085068,1,157151.0,112376.0,44775.0
Selected public histories,V224C,raw_e107114124,1100495220,0,150083.0,113235.0,36848.0
Selected public histories,V224C,raw_e107114124,1100495220,1,150083.0,113032.0,37051.0
Selected public histories,V224C,raw_e107115068,855723531,0,89550.0,79483.0,10067.0
Selected public histories,V224C,raw_e107115068,855723531,1,89550.0,79483.0,10067.0
Selected public histories,V224C,raw_e107115069,1465696898,0,68866.0,51140.0,17726.0
Selected public histories,V224C,raw_e107115069,1465696898,1,68651.0,52092.0,16559.0
Selected public histories,V224C,raw_e107118038,1944025771,0,139134.0,122368.0,16766.0
Selected public histories,V224C,raw_e107118038,1944025771,1,139134.0,122368.0,16766.0
Selected public histories,V224C,raw_e107124775,636393876,0,122329.0,19368.0,102961.0
Selected public histories,V224C,raw_e107124775,636393876,1,119441.0,17640.0,101801.0
Selected public histories,V224C,raw_e107125709,1034129690,0,148894.0,79109.0,69785.0
Selected public histories,V224C,raw_e107125709,1034129690,1,148894.0,79109.0,69785.0
Selected public histories,V224C,raw_e107125727,1577275285,0,141488.0,51592.0,89896.0
Selected public histories,V224C,raw_e107125727,1577275285,1,141488.0,51592.0,89896.0
Selected public histories,V224C,raw_e107128530,814419237,0,80799.0,59078.0,21721.0
Selected public histories,V224C,raw_e107128530,814419237,1,80799.0,59078.0,21721.0
Selected public histories,V224C,raw_e107128557,1295938388,0,60200.0,19393.0,40807.0
Selected public histories,V224C,raw_e107128557,1295938388,1,60200.0,19393.0,40807.0
Selected public histories,V224C,raw_e107132159,868100607,0,86730.0,71772.0,14958.0
Selected public histories,V224C,raw_e107132159,868100607,1,86730.0,71772.0,14958.0
Selected public histories,V224C,raw_e107132308,1823012832,0,111469.0,98020.0,13449.0
Selected public histories,V224C,raw_e107132308,1823012832,1,111469.0,98020.0,13449.0
Selected public histories,V224C,raw_e107134211,1200507074,0,103143.0,93764.0,9379.0
Selected public histories,V224C,raw_e107134211,1200507074,1,103143.0,93764.0,9379.0
Selected public histories,V224C,raw_e107135173,425453931,0,79817.0,67232.0,12585.0
Selected public histories,V224C,raw_e107135173,425453931,1,75742.0,64334.0,11408.0
Selected public histories,V224C,raw_e107136121,403020939,0,98286.0,95183.0,3103.0
Selected public histories,V224C,raw_e107136121,403020939,1,98286.0,95183.0,3103.0
Selected public histories,V224C,raw_e107136122,936858542,0,86407.0,70748.0,15659.0
Selected public histories,V224C,raw_e107136122,936858542,1,86407.0,70748.0,15659.0
Selected public histories,V224C,raw_e107137077,1882532357,0,75865.0,66943.0,8922.0
Selected public histories,V224C,raw_e107137077,1882532357,1,76060.0,66248.0,9812.0
Selected public histories,V224C,raw_e107137078,750102949,0,152016.0,133737.0,18279.0
Selected public histories,V224C,raw_e107137078,750102949,1,152016.0,133737.0,18279.0
Selected public histories,V224C,raw_e107138080,1294635170,0,99731.0,94705.0,5026.0
Selected public histories,V224C,raw_e107138080,1294635170,1,99751.0,94606.0,5145.0
Selected public histories,V224C,raw_e107139039,304280464,0,99950.0,88313.0,11637.0
Selected public histories,V224C,raw_e107139039,304280464,1,99950.0,88313.0,11637.0
Selected public histories,V224C,raw_e107140018,2056548737,0,132397.0,125053.0,7344.0
Selected public histories,V224C,raw_e107140018,2056548737,1,132397.0,125053.0,7344.0
Selected public histories,V224C,raw_e107140042,1381413489,0,91576.0,81901.0,9675.0
Selected public histories,V224C,raw_e107140042,1381413489,1,91576.0,81901.0,9675.0
Selected public histories,V224C,raw_e107140703,576610249,0,112296.0,103674.0,8622.0
Selected public histories,V224C,raw_e107140703,576610249,1,112296.0,103674.0,8622.0
Selected public histories,V224C,raw_e107140759,212214194,0,95738.0,88426.0,7312.0
Selected public histories,V224C,raw_e107140759,212214194,1,95738.0,88426.0,7312.0
Selected public histories,V224C,raw_e107141028,1298322265,0,82789.0,77001.0,5788.0
Selected public histories,V224C,raw_e107141028,1298322265,1,82789.0,77001.0,5788.0
Selected public histories,V224C,raw_e107141031,1596034188,0,132241.0,126910.0,5331.0
Selected public histories,V224C,raw_e107141031,1596034188,1,132241.0,126910.0,5331.0
Selected public histories,V224C,raw_e107142692,215063973,0,98471.0,93500.0,4971.0
Selected public histories,V224C,raw_e107142692,215063973,1,98471.0,93500.0,4971.0
Selected public histories,V224C,raw_e107142783,2105878240,0,85970.0,87342.0,-1372.0
Selected public histories,V224C,raw_e107142783,2105878240,1,85970.0,87342.0,-1372.0
Selected public histories,V224C,raw_e107144052,195221206,0,72422.0,61330.0,11092.0
Selected public histories,V224C,raw_e107144052,195221206,1,72422.0,61330.0,11092.0
Selected public histories,V224C,raw_e107144957,1365241425,0,42932.0,41710.0,1222.0
Selected public histories,V224C,raw_e107144957,1365241425,1,42932.0,41710.0,1222.0
Selected public histories,V224C,raw_e107145084,1181911364,0,108960.0,104764.0,4196.0
Selected public histories,V224C,raw_e107145084,1181911364,1,114340.0,104236.0,10104.0
Selected public histories,V224C,raw_e107145936,448252299,0,134965.0,124930.0,10035.0
Selected public histories,V224C,raw_e107145936,448252299,1,134965.0,124930.0,10035.0
Selected public histories,V224C,raw_e107147000,1734357680,0,99497.0,91913.0,7584.0
Selected public histories,V224C,raw_e107147000,1734357680,1,99497.0,91913.0,7584.0
Selected public histories,V224C,raw_e107147964,1473587721,0,133080.0,99132.0,33948.0
Selected public histories,V224C,raw_e107147964,1473587721,1,133080.0,99132.0,33948.0
Selected public histories,V224C,raw_e107147975,54894417,0,78373.0,70107.0,8266.0
Selected public histories,V224C,raw_e107147975,54894417,1,78373.0,70107.0,8266.0
Selected public histories,V224C,raw_e107148933,415719621,0,91330.0,88518.0,2812.0
Selected public histories,V224C,raw_e107148933,415719621,1,91330.0,88518.0,2812.0
Selected public histories,V224C,raw_e107148958,355384596,0,113004.0,110786.0,2218.0
Selected public histories,V224C,raw_e107148958,355384596,1,113004.0,110786.0,2218.0
Selected public histories,V224C,raw_e107150894,1436792535,0,135154.0,127714.0,7440.0
Selected public histories,V224C,raw_e107150894,1436792535,1,135154.0,127714.0,7440.0
Selected public histories,V224C,raw_e107151984,835682194,0,124152.0,119466.0,4686.0
Selected public histories,V224C,raw_e107151984,835682194,1,124152.0,119466.0,4686.0
Selected public histories,V224C,raw_e107152753,1628463755,0,138534.0,135062.0,3472.0
Selected public histories,V224C,raw_e107152753,1628463755,1,138534.0,135062.0,3472.0
Selected public histories,V224C,raw_e107154765,642514807,0,181274.0,99648.0,81626.0
