agent_x,agent_y,games,x_wins,ties,y_wins,x_score,mean_margin_x
_extract_submission_tar,_extract_submission_tar_2,12,0,0,12,0.0,-146664.0
_extract_submission_tar,_extract_submission_tar_3,12,0,0,12,0.0,-149029.0
_extract_submission_tar,_extract_submission_tar_4,12,0,0,12,0.0,-154821.66666666666
_extract_submission_tar,prvsiyan_frontier,12,0,0,12,0.0,-168174.41666666666
_extract_submission_tar,reacting_aurax7_v2_public_refresh,12,0,0,12,0.0,-169985.33333333334
_extract_submission_tar,reacting_evgen_v226_public_refresh,12,0,0,12,0.0,-167813.41666666666
_extract_submission_tar,reacting_market_smart_public_refresh,12,0,0,12,0.0,-170254.16666666666
_extract_submission_tar,sub-009-moev2,12,0,0,12,0.0,-151785.41666666666
_extract_submission_tar_2,_extract_submission_tar_3,12,12,0,0,1.0,30248.833333333332
_extract_submission_tar_2,_extract_submission_tar_4,12,12,0,0,1.0,12621.5
_extract_submission_tar_2,prvsiyan_frontier,12,0,0,12,0.0,-24675.666666666668
_extract_submission_tar_2,reacting_aurax7_v2_public_refresh,12,0,0,12,0.0,-19603.333333333332
_extract_submission_tar_2,reacting_evgen_v226_public_refresh,12,0,0,12,0.0,-19695.0
_extract_submission_tar_2,reacting_market_smart_public_refresh,12,0,0,12,0.0,-19610.333333333332
_extract_submission_tar_2,sub-009-moev2,12,0,0,12,0.0,-16138.666666666666
_extract_submission_tar_3,_extract_submission_tar_4,12,0,0,12,0.0,-10002.583333333334
_extract_submission_tar_3,prvsiyan_frontier,12,0,0,12,0.0,-44254.833333333336
_extract_submission_tar_3,reacting_aurax7_v2_public_refresh,12,0,0,12,0.0,-43823.0
_extract_submission_tar_3,reacting_evgen_v226_public_refresh,12,0,0,12,0.0,-43911.166666666664
_extract_submission_tar_3,reacting_market_smart_public_refresh,12,0,0,12,0.0,-43871.166666666664
_extract_submission_tar_3,sub-009-moev2,12,0,0,12,0.0,-40717.833333333336
_extract_submission_tar_4,prvsiyan_frontier,12,0,0,12,0.0,-19007.25
_extract_submission_tar_4,reacting_aurax7_v2_public_refresh,12,2,0,10,0.16666666666666666,-16201.416666666666
_extract_submission_tar_4,reacting_evgen_v226_public_refresh,12,2,0,10,0.16666666666666666,-16320.75
_extract_submission_tar_4,reacting_market_smart_public_refresh,12,2,0,10,0.16666666666666666,-16208.416666666666
_extract_submission_tar_4,sub-009-moev2,12,0,0,12,0.0,-15778.833333333334
prvsiyan_frontier,reacting_aurax7_v2_public_refresh,12,12,0,0,1.0,10098.666666666666
prvsiyan_frontier,reacting_evgen_v226_public_refresh,12,12,0,0,1.0,10204.5
prvsiyan_frontier,reacting_market_smart_public_refresh,12,12,0,0,1.0,10091.0
prvsiyan_frontier,sub-009-moev2,12,12,0,0,1.0,15175.333333333334
reacting_aurax7_v2_public_refresh,reacting_evgen_v226_public_refresh,12,6,0,6,0.5,10.166666666666666
reacting_aurax7_v2_public_refresh,reacting_market_smart_public_refresh,12,0,0,12,0.0,-7.666666666666667
reacting_aurax7_v2_public_refresh,sub-009-moev2,12,12,0,0,1.0,13289.666666666666
reacting_evgen_v226_public_refresh,reacting_market_smart_public_refresh,12,4,2,6,0.4166666666666667,-17.833333333333332
reacting_evgen_v226_public_refresh,sub-009-moev2,12,12,0,0,1.0,13299.833333333334
reacting_market_smart_public_refresh,sub-009-moev2,12,12,0,0,1.0,13308.666666666666
