panel,opponent,seat,seed,parent_margin,late_margin,margin_change
Selected discovery,aurax7_v2_public_refresh,0,9413601,2480.0,2480.0,0.0
Selected discovery,aurax7_v2_public_refresh,1,9413601,2480.0,2480.0,0.0
Selected discovery,evgen_v226_public_refresh,0,9413601,2489.0,2489.0,0.0
Selected discovery,evgen_v226_public_refresh,1,9413601,2489.0,2489.0,0.0
Selected discovery,market_smart_public_refresh,0,9413601,2473.0,2473.0,0.0
Selected discovery,market_smart_public_refresh,1,9413601,2473.0,2473.0,0.0
Selected discovery,raw_e107423497,0,735781542,28181.0,28181.0,0.0
Selected discovery,raw_e107423497,1,735781542,28181.0,28181.0,0.0
Selected discovery,raw_e107424452,0,1563356901,20068.0,22941.0,2873.0
Selected discovery,raw_e107424452,1,1563356901,20068.0,22941.0,2873.0
Selected discovery,raw_e107426389,0,706023377,-4253.0,3331.0,7584.0
Selected discovery,raw_e107426389,1,706023377,-4253.0,3331.0,7584.0
Selected discovery,raw_e107427389,0,28826036,19721.0,22484.0,2763.0
Selected discovery,raw_e107427389,1,28826036,19721.0,22484.0,2763.0
New public losses,raw_e107435114,0,1101503532,-2679.0,-2679.0,0.0
New public losses,raw_e107435114,1,1101503532,-2679.0,-2679.0,0.0
New public losses,raw_e107436133,0,1762239410,-6869.0,-6869.0,0.0
New public losses,raw_e107436133,1,1762239410,-7042.0,-7042.0,0.0
New public losses,raw_e107442106,0,2137631897,-19318.0,-13711.0,5607.0
New public losses,raw_e107442106,1,2137631897,-19318.0,-13711.0,5607.0
New public losses,raw_e107442173,0,1527162614,-22980.0,-22980.0,0.0
New public losses,raw_e107442173,1,1527162614,-27840.0,-27840.0,0.0
New public losses,raw_e107442767,0,1638365059,5216.0,5216.0,0.0
New public losses,raw_e107442767,1,1638365059,5216.0,5216.0,0.0
New public losses,raw_e107445042,0,442021614,-1798.0,-1798.0,0.0
New public losses,raw_e107445042,1,442021614,-1798.0,-1798.0,0.0
