agent_a,agent_b,games,a_wins,draws,b_wins,a_score,a_mean_reward,b_mean_reward
v4,v7,20,20,0,0,1.0,17557.5,13252.55
v4,starter,20,20,0,0,1.0,26685.4,3500.0
v4,gzmcr,20,0,0,20,0.0,11503.0,115455.35
v4,lonespear,20,0,0,20,0.0,26677.4,109155.05
v4,seyamalam,20,0,0,20,0.0,11783.9,140077.3
v7,starter,20,20,0,0,1.0,19830.65,3538.3
v7,gzmcr,20,0,0,20,0.0,10125.0,119239.15
v7,lonespear,20,0,0,20,0.0,19801.65,121882.45
v7,seyamalam,20,0,0,20,0.0,10480.4,147145.25
starter,gzmcr,20,0,0,20,0.0,3514.7,121029.25
starter,lonespear,20,0,0,20,0.0,3665.55,104362.2
starter,seyamalam,20,0,0,20,0.0,3540.05,155534.55
gzmcr,lonespear,20,14,0,6,0.7,89965.5,85820.25
gzmcr,seyamalam,20,0,0,20,0.0,67660.65,96074.85
lonespear,seyamalam,20,0,0,20,0.0,56612.7,91010.4
